iter	Passed	Remaining
0	0	94
1	1	84
2	2	80
3	3	74
4	3	73
5	4	74
6	5	77
7	6	77
8	7	77
9	8	77
10	9	77
11	10	75
12	11	73
13	11	72
14	12	70
15	13	69
16	14	68
17	14	67
18	15	66
19	16	65
20	17	64
21	17	63
22	18	62
23	19	61
24	20	60
25	20	59
26	21	58
27	22	57
28	23	56
29	24	56
30	25	56
31	25	55
32	26	54
33	27	53
34	28	52
35	28	51
36	29	50
37	30	49
38	31	48
39	31	47
40	32	46
41	32	45
42	34	45
43	35	44
44	36	44
45	36	43
46	37	42
47	38	41
48	39	40
49	40	40
50	40	39
51	41	38
52	42	37
53	43	36
54	43	35
55	44	34
56	45	33
57	45	33
58	46	32
59	47	31
60	48	30
61	48	29
62	49	29
63	50	28
64	51	27
65	51	26
66	52	25
67	53	25
68	54	24
69	55	23
70	55	22
71	56	21
72	57	21
73	57	20
74	58	19
75	59	18
76	60	17
77	60	17
78	61	16
79	62	15
80	63	14
81	64	14
82	64	13
83	65	12
84	66	11
85	67	10
86	68	10
87	68	9
88	69	8
89	70	7
90	71	7
91	71	6
92	72	5
93	73	4
94	74	3
95	74	3
96	75	2
97	76	1
98	77	0
99	77	0
